Unnamed: 0,Time,User,Tweet,Location,Retweets,cleaned_tweet,label
,,,"Would you like it if you got fired and replaced by robots/AI because you couldnt make it for a day?Voice actors might lose job because people might opt for AI generated (cheaper)Also VA have schedule, both side will make schedule base on each other availability normally",,,would like got fired replaced robots/ couldnt make day voice actor might lose job people might opt generated cheaper also schedule side make schedule base availability normally,negative
,,,It's the not just the actors and writers etc. that will be replaced by Ai it's the big movie studios themselves. People will be able to create movies from their bedrooms.,,,actor writer etc replaced big movie studio people able create movie bedroom,positive
,,,"Protesting only going to accelerate the use of AI. See: McDonaldsThat being said, this could spark a niche of creators that want to make their own movies with real actors (be the change you wish to see)",,,protesting going accelerate use see mcdonaldsthat said could spark niche creator want make movie real actor change wish see,positive
,,,"Check out much more on Bilibili Comics - search ""Best Actors Apartment"" and favorite!",,,check much bilibili comic search best actor apartment favorite,positive
,,,theres so much love and care put into voice acting and this fucking loser is like Erm its actually way easier to replace actors with ai,,,there much love care put voice acting fucking loser like erm actually way easier replace actor,positive
,,,"Picture a film shot in one language being seamlessly translated and dubbed using AI, while TrueSync synchronizes the actors' lip movements to match the dubbed language.",,,picture film shot one language seamlessly translated dubbed using truesync synchronizes actor lip movement match dubbed language,neutral
,,,The day that an AI movie gets great reviews is the day all actors take a hair cut in what they charge. If you can make a movie like Avatar or Up fully A.I. there is no stopping anyone.,,,day movie get great review day actor take hair cut charge make movie like avatar fully .. stopping anyone,positive
,,,AI Takes Over the Silver Screen - What's Next for Human Actors? via AI Character Short,,,take silver screen next human actor via character short,neutral
,,,Good thing actors and writers striking will stop AI. Because its not like AI can replace actors and writers exactly like its doing and theyre striking about,,,good thing actor writer striking stop like replace actor writer exactly like theyre striking,positive
,,,I feel so bad for voice actors since AI is a thing,,,feel bad voice actor since thing,negative
,,,Wonder what would happen if the actors went on strike in support of the writers? What are they going to do have Ai replace them too. . The story belongs to the writers that started the story and those who came along through the journey . There irreplaceable .,,,wonder would happen actor went strike support writer going replace story belongs writer started story came along journey irreplaceable,positive
,,,"Good maybe AI will come with some original content, not just remakes with different woke actors.",,,good maybe come original content remake different woke actor,positive
,,,"""Access to ai technology will be far more democratised than seemed possible ... On the plus side, it makes monopolistic control...far less likely. But easier access to ai also means bad actors will be able to fine-tune systems for nefarious purposes...""",,,access technology far democratised seemed possible plus side make monopolistic controlfar le likely easier access also mean bad actor able fine-tune system nefarious purpose,negative
,,,"There will be no actors in the future. Why? Because we have enough Actor Icons that are manifested in your movie history. So, as she pointed out correctly, for the movie industry it will be much more easy to create movies with the help of AI instead of using real humans as actors",,,actor future enough actor icon manifested movie history pointed correctly movie industry much easy create movie help instead using real human actor,positive
,,,"Regrettably, AGI is coming for all of us. Actors are going to find out that script writing is easily done by AI and that actors images or a new actor can be produced by computers. Many of the so called stars who have acted entitled, will shortly be out of work.",,,regrettably agi coming actor going find script writing easily done actor image new actor produced computer many called star acted entitled shortly work,positive
,,,What did voice actors do to make Ai makers be there nr haters,,,voice actor make maker hater,negative
,,,"Yes, AI will be better at that, if it isnt already. Through the internet and other channels we are constantly feeding it information about how we humans think, so AI can use that in ways human actors never could.",,,yes better isnt already internet channel constantly feeding information human think use way human actor never could,positive
,,,"No AI will replace live acting. Theatre is coming back soon, real Actors with Skill.",,,replace live acting theatre coming back soon real actor skill,neutral
,,,If the USA institutes controls on AI how will they be employed against actors in other countries?,,,usa institute control employed actor country,neutral
,,,I will act like the craziest mofo if they want to replace actors I've enjoyed for years with goddamn AI.,,,act like craziest mofo want replace actor enjoyed year goddamn,negative
,,,"This is the future they ask for.Full of the same recycled sanitised jokes, stolen AI artwork that looks the same, and trying to bring back long-lost actors who should be kept at rest with their legacy.All of it, devoid of human expression of raw emotion and passion.",,,future ask for.full recycled sanitised joke stolen artwork look trying bring back long-lost actor kept rest legacy.all devoid human expression raw emotion passion,positive
,,,"Some people in the AI risk movement say we have common cause with other groups who want to slow down AI, such as actors going on strike.Nothing could be further from the truth. () I want these people to be permanently unemployed and on a basic income because I don't want their",,,people risk movement say common cause group want slow actor going strike.nothing could truth want people permanently unemployed basic income want,positive
,,,"The reason this pisses me the fuck off is it could so easily be used to take advantage of new actors. They would own that voice and I dont want to sign that away if Im capable of doing it, AI does not sound convincing, and its just a slippery slope.",,,reason piss fuck could easily used take advantage new actor would voice dont want sign away capable sound convincing slippery slope,positive
,,,"I hate this, bigger video game companies will probably still employ high-profile talent, like Troy Baker who voices Joel Miller in The Last of Us, but AI will give smaller games studios easier access to voices and give early-career actors more work",,,hate bigger video game company probably still employ high-profile talent like troy baker voice joel miller last give smaller game studio easier access voice give early-career actor work,positive
,,,"If the voice actors were absent, the AI wouldn't exist cause it needs them to steal voices from hope that helps",,,voice actor absent exist cause need steal voice hope help,positive
,,,"Its in no countrys interest for any country to develop and release AI systems that humans cannot control.Stuart Russell UC Berkeley, U Oxford[and in no countrys interest to release AI systems that bad actors can use] May",,,country interest country develop release system human control.stuart russell berkeley oxford country interest release system bad actor use may,positive
,,,"Saying ""AI replacing Voice Actors/Voice Actresses is a good idea"" is just worst and Big No like coming from someone who watch tokusatsu series that use Voice Actors/Voice Actresses a lot.",,,saying replacing voice actors/voice actress good idea worst big like coming someone watch tokusatsu series use voice actors/voice actress lot,positive
,,,Everyone that wants to Justify The VAs and Voice dub role actors THIS AI IS STEALING VOICE ACTORS VOICE LINES WITHOUT PERMISSION AND THEY ARE FROM HK DO EVERYONE OF THE VICTIMS A FAVOR AND AR THIS POS NOW,,,everyone want justify va voice dub role actor stealing voice actor voice line without permission everyone victim favor po,negative
,,,"Chatbots as improv machines? This new generation of AI-powered chatbots is baffling our intuition on how to interact with computers. Find out why the comparison to improv actors could help us understand their limitations and possibilities,",,,chatbots improv machine new generation -powered chatbots baffling intuition interact computer find comparison improv actor could help understand limitation possibility,positive
,,,"Well yeah, what does that have to do with the whole AI thing that could potentially take away the jobs of said voice actors.",,,well yeah whole thing could potentially take away job said voice actor,positive
,,,Are anime voice actors going to be downsized as AI progresses (I think this is a conversation that needs to be had),,,anime voice actor going downsized progress think conversation need,positive
,,,She aced it!! She committed to creating the total AI generic look in plastic surgery. I guess self-worth on a name tag is not all that bad while the swelling goes down. Actors/actresses are looking more and more similar to each other.Doppelgangers. AI. It's not pretty.,,,aced committed creating total generic look plastic surgery guess self-worth name tag bad swelling go actors/actresses looking similar other.doppelgangers pretty,positive
,,,if anime voice actors were replaced by ai that would sound and feel wierddd!!,,,anime voice actor replaced would sound feel wierddd,neutral
,,,I think it's more the fear of misuse of AI by bad actors in the short/medium-term,,,think fear misuse bad actor short/medium-term,negative
,,,"Maybe AI can write better scripts than this formulated, boring, soulles scripts.last years i'm just watching same movies with different genre and different actors",,,maybe write better script formulated boring soulles scripts.last year watching movie different genre different actor,positive
,,,WDYM AI IS SLOWLY REPLACING VOICE ACTORS??? TF,,,wdym slowly replacing voice actor,neutral
,,,Ain't you the bitch ass that tried to gas ai into replacing voice actors worldwide???,,,bitch as tried gas replacing voice actor worldwide,negative
,,,"Too many writers and digital artists lost my support when they didn't support fair pay for voice actors. Bring on the AI, if it does them out of a job then maybe they weren't good enough anyway",,,many writer digital artist lost support support fair pay voice actor bring job maybe good enough anyway,positive
,,,"Without global regulation and enforcement, new regulation just in the US around AI is meaningless.Chaotic actors will simply set up in a more relaxed country to build.",,,without global regulation enforcement new regulation around meaningless.chaotic actor simply set relaxed country build,positive
,,,how to recognize bad actors utilizing ai to take over the world. og twitter you got some splainin' to do...so do you ai devs,,,recognize bad actor utilizing take world twitter got splainin devs,negative
,,,"There is an Ai app that can make a thier paid voice sample sing on English, Chinese and Japanese of which most of the voice actors themselves don't even speak English or Japanese.Cannot attest on how good thier Chinese or Japansese is, but one of thier English cover sounds -",,,app make thier paid voice sample sing english chinese japanese voice actor even speak english japanese. attest good thier chinese japansese one thier english cover sound,positive
,,,Important issues like what? Facilitating theft? Depriving indie creators of jobs? Screw that. We'll ALWAYS support real voice actors and artists over this unethical AI garbage attempting to invade creative spaces.,,,important issue like facilitating theft depriving indie creator job screw always support real voice actor artist unethical garbage attempting invade creative space,positive
,,,i dont think sports will happen because we like betting and the live aspect of it lol but its crazy but AI will make things faster and cheaper . maybe actors can sell their IP via nft or something and get revenue from AI lol,,,dont think sport happen like betting live aspect lol crazy make thing faster cheaper maybe actor sell via nft something get revenue lol,positive
,,,"There is actually a fascinating aspect to AI, especially for actors. Contracts allow studios to use whatever they film in any way without compensation. So if Universal has Brad Pitt films and makes an AI Brad, can they use him as much as they want and never have to pay him.?",,,actually fascinating aspect especially actor contract allow studio use whatever film way without compensation universal brad pitt film make brad use much want never pay,positive
,,,"Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profession as well. No need to use local talent for language translation and dubbing or even for games and anime, just clone a voice.Another sector of the",,,voice actor part wga strike hollywood actor strike vote generative rob profession well need use local talent language translation dubbing even game anime clone voice.another sector,negative
,,,"To be completely clear, I do believe AI x-risk is absolutely real and critically under-addressed. But this is a realistic scenario for hope, assuming competent actors with the right incentives can pull it off",,,completely clear believe -risk absolutely real critically under-addressed realistic scenario hope assuming competent actor right incentive pull,positive
,,,"What the actual fuck... Voice Actors, no matter where deserve as much respect as artists for their craft, and this happens. AI tech doesn't need to be regulated it needs to be banned.",,,actual fuck voice actor matter deserve much respect artist craft happens tech need regulated need banned,negative
,,,"AI is replacing actors, anchors and others",,,replacing actor anchor others,neutral
,,,"Even if WE stop our advances in AI because of the potential dangers, bad actors wouldn't stop their progress which would lead to good people having poor AI than bad people eventually. We should be more scared of that.Amazing talk by Sal Khan!",,,even stop advance potential danger bad actor stop progress would lead good people poor bad people eventually scared that.amazing talk sal khan,negative
,,,Looking for insightful content on AI and anime? Follow my Twitter for a unique blend of thoughts on AI-generated actors and anime characters - with a pinch of humor to keep things interesting.,,,looking insightful content anime follow twitter unique blend thought -generated actor anime character pinch humor keep thing interesting,positive
,,,AI vote for The Shining Actors of Thailand Summer (Close: May. : BKK),,,vote shining actor thailand summer close may bkk,neutral
,,,I do Voice Acting mostly for fun and for side cash and I will tell you RIGHT NOW that there are tons of voice actors that will work within any budget incl no budget if the project catches their eye. There is NO EXCUSE for USING AI for voice overs...not one damn excuse.,,,voice acting mostly fun side cash tell right ton voice actor work within budget incl budget project catch eye excuse using voice oversnot one damn excuse,positive
,,,Self employed actors are striking I wonder in the future if AI will also call a strike ?,,,self employed actor striking wonder future also call strike,negative
,,,Whats next? Theres gonna replace real life actors with ai cgi actors?,,,whats next there gon na replace real life actor cgi actor,neutral
,,,Hahah wtf how does AI replace human actors?,,,hahah wtf replace human actor,negative
,,,What next AI actors?,,,next actor,neutral
,,,"AI will replace everything until it gets to the lawyers and political class, along with ""news"" casters. Once their jobs are threatened it becomes serious. I think the actors should learn to code...oh wait, that's being replaced by AI too.",,,replace everything get lawyer political class along news caster job threatened becomes serious think actor learn code wait replaced,negative
,,,"...No one was complaining when it was the SAs. Now its the actors they're kicking off?! Go back to acting on stage, should be a while before AI takes over there",,,one complaining sa actor kicking back acting stage take,negative
,,,The AI voice overs sound pretty bad too.It's not that hard to find voice actors to work within any budget on a cool project.,,,voice over sound pretty bad hard find voice actor work within budget cool project,positive
,,,"Whos's going to miss them? BadBiased actors/actress, BadBiased movies They will be easily replaced by AI...They deserve to be",,,who going miss badbiased actors/actress badbiased movie easily replaced deserve,positive
,,,"The fact *you* don't think it's rational implies nothing about other actors who, believe it or not, don't necessarily share your priors.All an actor needs is a belief that one more epoch of training presents no x-risk but possible AI superiority for it to be rational to train.",,,fact think rational implies nothing actor believe necessarily share priors.all actor need belief one epoch training present -risk possible superiority rational train,positive
,,,"Cannot take over in the sense that most are thinking, but it can take over by management by Human bad actors, which is why it needs to be stopped. AI impacting every day life",,,take sense thinking take management human bad actor need stopped impacting every day life,negative
,,,"Google to ""explore ways to identify and block disinformation campaigns, including interference in elections, where malicious actors use generative AI to generate or manipulate media""",,,google explore way identify block disinformation campaign including interference election malicious actor use generative generate manipulate medium,negative
,,,I dont have any problem if Hollywood actors/ directors/ scripters are replaced by AI. It should be ended indeed.,,,dont problem hollywood actors/ directors/ scripters replaced ended indeed,positive
,,,theyve even resorted to modelling AI after late voice actors; completely unethical and disrespectful to the ones that came before us,,,theyve even resorted modelling late voice actor completely unethical disrespectful one came,negative
,,,"Fun fact, a lot of these AI voice generators pay voice actors to lend their voices to generate more voices with, so if you're a voice actor and you're taking on AI voice cloning projects for money...you're dumb. This is just the start.",,,fun fact lot voice generator pay voice actor lend voice generate voice voice actor taking voice cloning project moneyyou dumb start,negative
,,,"It's over and those jobs won't be coming back. Years ago when below-the-line was cut, actors and writers sat back and didn't give shits about it because they felt secure. They need to start clawing at revenue from their future AI likeness, instead trying to retain the old way.",,,job coming back year ago below-the-line cut actor writer sat back give shit felt secure need start clawing revenue future likeness instead trying retain old way,negative
,,,"In terms of talents, JnA is full of Ai and Frill. Not ham actors like Melt Narushima.Ngeh",,,term talent jna full frill ham actor like melt narushima.ngeh,positive
,,,"Sounds good to me,more Ai,less woke loser actors",,,sound good le woke loser actor,negative
,,,"AI should be its own Artform, not replace actors and their craft, no matter how sophisticated computers get,it will never replace the soul, emotional expression and nuances of a human being. It will cheapen story telling so I fully support all of you",,,artform replace actor craft matter sophisticated computer get never replace soul emotional expression nuance human cheapen story telling fully support,positive
,,,Hollywood writers and actors been trash for a long time maybe ai will improve it. You would think bots have been writing films for the past years already,,,hollywood writer actor trash long time maybe improve would think bot writing film past year already,positive
,,,All this AI voice generator stuff is worrying and infuriating. Why would you want to replace the voice actors who work so hard to create something beautiful and meaningful? Why would you want to give up that passion and the genuine human emotions that they provide?,,,voice generator stuff worrying infuriating would want replace voice actor work hard create something beautiful meaningful would want give passion genuine human emotion provide,positive
,,,"However, threat actors also leveraged generative AI for malicious purposes like creating malware and phishing emails.The integration of generative AI into our lives and businesses has accelerated, with new models and offerings emerging.",,,however threat actor also leveraged generative malicious purpose like creating malware phishing emails.the integration generative life business accelerated new model offering emerging,positive
,,,"Writers striking , Actors about to strike , Hollywood . A major issue ; AI taking over writing of scripts and using voice and image of actors . Actors not needed .",,,writer striking actor strike hollywood major issue taking writing script using voice image actor actor needed,negative
,,,"So, this. Consumer, diagnostic, scientific AI is already in our lives in good ways. But AI poses a serious threat to the creative integrity &amp; financial wellbeing of actors. SAG-AFTRA needs membership authorization in the event a strike becomes necessary. Gotta support them.",,,consumer diagnostic scientific already life good way pose serious threat creative integrity amp financial wellbeing actor sag-aftra need membership authorization event strike becomes necessary got ta support,positive
,,,"Which actor played the character of 'Joker' in the movie 'The Dark Knight'?....I will follow you, if you answer correctly! ... Giappone",,,actor played character 'joker movie 'the dark knight follow answer correctly giappone,positive
,,,so they think they can fight AI actors by...refusing to work? guess who doesn't go on strike...AI actors. this is just going to expedite the process.,,,think fight actor refusing work guess strike actor going expedite process,negative
,,,Will AI generated adult actors still rape AI generated children? Hoping not...,,,generated adult actor still rape generated child hoping,negative
,,,"Show them how its done. They want to replace us w/ ? Chop up our past scripts &amp; bring out resulting patchwork films? Take actors likeness &amp; use them however you want? Replace directors with software project managers,because you dont need a vision or a point of view? /",,,show done want replace chop past script amp bring resulting patchwork film take actor likeness amp use however want replace director software project manager dont need vision point view,neutral
,,,"Please make more prompts of other famous people. In addition to businessmen, there are also actors and singers.",,,please make prompt famous people addition businessmen also actor singer,positive
,,,People who worry about super intelligence should get together with people who are worried about Aliens. They have been watching too many movies.I would worry more about complete AI automation of essential services because . Disastrous breakdown of the code. . Malicious actors,,,people worry super intelligence get together people worried alien watching many movie would worry complete automation essential service disastrous breakdown code malicious actor,negative
,,,"AI must not replace us as actors, writers and content creators. I go walk on stage and riff on that from the heart",,,must replace actor writer content creator walk stage riff heart,neutral
,,,A.I. Company Wants To Visually 'Dub' Non-English Film Actors' Faces And We Have Questions - /Film,,,.. company want visually 'dub non-english film actor face question /film,positive
,,,"it is not beneficial to actors in any way for them to be like yeah we can just use AI to have you say a different line in post, or look like you speak Japanese when you dont. its just as dangerous",,,beneficial actor way like yeah use say different line post look like speak japanese dont dangerous,positive
,,,oh for sure. I predict in the next couple years there's going to be a highly promoted blockbuster movie with nothing but AI actors,,,sure predict next couple year going highly promoted blockbuster movie nothing actor,positive
,,,"TLDR, theyre snake oil salesmen selling Hollywood a tool they DONT need - using AI to make the actors faces look like they match the dub in other languages or when dialogue changes.",,,tldr theyre snake oil salesman selling hollywood tool dont need using make actor face look like match dub language dialogue change,positive
,,,Who is cloning these actors with AI?,,,cloning actor,neutral
,,,Writers be like...I'm going on strike!Don't replace me with AI while I am gone?!Screen Actors Guild take notice!,,,writer like going strike replace gone screen actor guild take notice,positive
,,,the exception is with dead actors or when they superimpose the young face onto a different actors face and use ai for the voice. its fucked and terrifying,,,exception dead actor superimpose young face onto different actor face use voice fucked terrifying,negative
,,,"I dont have any good answers myself but I wish there was a way we could continue to have these events but make them safer, both from bad actors of the human sort and AI scraping.",,,dont good answer wish way could continue event make safer bad actor human sort scraping,negative
,,,"Every artist should be concerned. I don't know how you're not panicking if you aren't. Writers, artists, voice actors, AND actors... And it's more than just that. AI driven cars... There's so much of it in our world. It's great for those who NEED AI. Those that can't communicate",,,every artist concerned know panicking writer artist voice actor actor driven car much world great need communicate,positive
,,,"This is % happening. Its real &amp; its huge. I manage a comedian, impressionist, &amp; voice actor, &amp; he is already losing work to AI. Folks this is it. Humanity stands together or its over. They are coming for all jobs &amp; humans. You can say who cares about actors youre next.",,,happening real amp huge manage comedian impressionist amp voice actor amp already losing work folk humanity stand together coming job amp human say care actor youre next,positive
,,,"I would love a Star Wars show that starred Luke, Leia, and Han after Return of the Jedi, I dont care one bit if it is all CGI actors and AI voices, I want to see more stories with the characters I care about, at the same time absolutely keep making new stuff too",,,would love star war show starred luke leia han return jedi dont care one bit cgi actor voice want see story character care time absolutely keep making new stuff,negative
,,,"Any danger introduced by civilian bad actors using AI will be dwarfed by government bad actors (ours and others) which regulation will not prevent. The only solution I see is to publicly and openly run towards the danger, fail fast, and hope we learn faster than the bad actors.",,,danger introduced civilian bad actor using dwarfed government bad actor others regulation prevent solution see publicly openly run towards danger fail fast hope learn faster bad actor,negative
,,,"Thanks. Honestly, I don't know how actors make a living in Hollywood given producers/studios are so finicky. AI is scary on many levels too. I can blame anyone in the industry going on strike.",,,thanks honestly know actor make living hollywood given producers/studios finicky scary many level blame anyone industry going strike,negative
,,,"Obtain new skills like the rest of us and get another job, or collect royalties by licensing your image/voice, etc out to companies leveraging AI creatively for them to use in their creations. Just because youre actors doesnt mean youre exempt from obselence. Adapt",,,obtain new skill like rest get another job collect royalty licensing image/voice etc company leveraging creatively use creation youre actor doesnt mean youre exempt obselence adapt,positive
,,,Fully agree with with the dangers of AI not just from AGI but from rogue/evil actors. We need regulation and we need it now. Just like nuclear bomb proliferation esp. dirty bombs its not unrealistic to see a future bad actor(s) commit horrific crimes and chaos with AI,,,fully agree danger agi rogue/evil actor need regulation need like nuclear bomb proliferation esp dirty bomb unrealistic see future bad actor commit horrific crime chaos,negative
,,,As a WGA member I dont think youre taking into consideration that were fighting to save the industry. AI can replace writers and actors and every below the line production member goes with it. You think its sanitized now? The Guild will win with solidarity,,,wga member dont think youre taking consideration fighting save industry replace writer actor every line production member go think sanitized guild win solidarity,positive
,,,"Hot take, actors are over payed. Maybe AI is making us all face the music",,,hot take actor payed maybe making face music,neutral
,,,Yeah this whole AI thing just doesn't make sense for voice actors just to clone there voice it's just lazy besides you're not going to get % accuracy of a machine,,,yeah whole thing make sense voice actor clone voice lazy besides going get accuracy machine,negative
,,,"This is exactly my question.I think we need a general consensus from the public on how far we go.Again, I'm not against AI, I love what I'm able to do with it, but I see how bad actors can distort the outcome.That's my concern.",,,exactly question think need general consensus public far .again love able see bad actor distort outcome.that concern,negative
,,,I partially agree with Yann LeCun. There is much catastrophizing about AI. But I also think his statements are too absolute and deserve some qualifiers. Many bad actors want to use AI in bad ways which could lead to quite bad outcomes.,,,partially agree yann lecun much catastrophizing also think statement absolute deserve qualifier many bad actor want use bad way could lead quite bad outcome,negative
,,,"they dont need to use likeness, they can make better looking, more fitting looking for the roll, ai generated actors",,,dont need use likeness make better looking fitting looking roll generated actor,positive
,,,"to further their asshole capitalist gains to shut out OTHER tech people, writers and actors. WE are not more important then the careful PROCESS that is NEEDED to sort out AI and sort out all the precautions that need to be taken with it. -",,,asshole capitalist gain shut tech people writer actor important careful process needed sort sort precaution need taken,positive
,,,I rather watch AI than overpaid actors with big egos.,,,rather watch overpaid actor big ego,neutral
,,,"I think AI should be fine as long as the actors get paid for the use of their voice and theres a safety clause that legally voids the contract if used incorrectly. But yeah, having the actual VAs produces better content.",,,think fine long actor get paid use voice there safety clause legally void contract used incorrectly yeah actual va produce better content,positive
,,,"Couldn't give a fkk been around ""actors"" and a few of those ckkcssckers, literally the worst type of humans I've met.Its on you to show that ai products can't compete.Same w/ attorney etc..w/ all of us.Ai tears thru a lot of fluff - all those people laughed off truckers",,,give fkk around actor ckkcssckers literally worst type human met.its show product compete.same attorney etc .. tear thru lot fluff people laughed trucker,negative
,,,"Hollywoke has really sucked the past decade with only a handful of good movies. The AI doesnt care about your self absorbed &amp; self centered ego, lets get new actors to do NEW CONCEPT movies, not recast garbage.",,,hollywoke really sucked past decade handful good movie doesnt care self absorbed amp self centered ego let get new actor new concept movie recast garbage,negative
,,,"is currently using voice actors' voices illegally with AI. Cosmic Quest"" has made videos on YouTube illegally using myself, James Carter Cathcart, and Rodger Parsons' voices illegally.",,,currently using voice actor voice illegally cosmic quest made video youtube illegally using james carter cathcart rodger parson voice illegally,neutral
,,,I dont know if actors have realized yet that AI is going to make fake people on screen that wont have get paid. Goodbye commercial actors.,,,dont know actor realized yet going make fake people screen wont get paid goodbye commercial actor,negative
,,,the question then for the movie studios becomes is it an economically better long term decision to invest in generative ai tools now instead of meeting the actors demands. i would guess for some the answer would be yes.,,,question movie studio becomes economically better long term decision invest generative tool instead meeting actor demand would guess answer would yes,positive
,,,Would you watch a movie if all actors were AI?,,,would watch movie actor,neutral
,,,Whoa! that's not good to put out the hard work actors and replacing them with an computer engineering Ai ?? Wtf this not good way to Start off. Smh oh god check this out,,,whoa good put hard work actor replacing computer engineering wtf good way start smh god check,positive
