Unnamed: 0,Time,User,Tweet,Location,Retweets,cleaned_tweet
,,,"I see what you are saying (if you are not in fact AI!) and I would like to see real actors in the TV and film I watch. However, striking has never worked against new technologies since the 's so it probably won't work now. You might have to find new creative ways to use your",,,see saying fact ai would like see real actor tv film watch however striking never worked new technology since probably work might find new creative way use
,,,"I dont think people are gonna get into AI movies and actors. Unless the AI gets so good theyre able to trick people into thinking the actors are real. It will have to be a really big lie with AI awards shows, celebrity gossip media about AI actors all propping up this lie.",,,dont think people gon get ai movie actor unless ai get good theyre able trick people thinking actor real really big lie ai award show celebrity gossip medium ai actor propping lie
,,,"And on top of it all, actors who never get sick, dont need pension and health, get into culture war scandals. Just pay a image license fee to their estates and a script made by AI with no residuals or line item paysthats where it is going. I dont want it to be but it is.",,,top actor never get sick dont need pension health get culture war scandal pay image license fee estate script made ai residual line item paysthats going dont want
,,,"AI's evolution leaves me speechless, and it just did a mic drop with DragGAN. With this groundbreaking technology, you become the director, and pixels are your actors. Play with poses, tweak shapes, and rearrange reality with a simple drag. Mind-blowing.",,,ai evolution leaf speechless mic drop draggan groundbreaking technology become director pixel actor play pose tweak shape rearrange reality simple drag mind-blowing
,,,"AI is a threat to writers, actors and directors",,,ai threat writer actor director
,,,This shit is an insult to voice actors. Say no to AI,,,insult voice actor say ai
,,,"Yes, thats the bright future of already well know actors... they just need to sell their IP to creators / studios, retiring on their lifes achievment.",,,yes thats bright future already well know actor need sell ip creator studio retiring life achievment
,,,Thanks for proving just why we need to be backing these writers and actors who are striking against the use of Ai. By dropping this hideous ass video she has single-handedly showed us why its important to keep REAL creatives in the storytelling seats of Hollywood.,,,thanks proving need backing writer actor striking use ai dropping hideous as video single-handedly showed u important keep real creatives storytelling seat hollywood
,,,See u showed us what Keanu showed us they dont need actors no more to act they got ai ti take ur jobs now,,,see showed u keanu showed u dont need actor act got ai ti take job
,,,More and more you sound like you're working for bad actors. Now you're harvesting people's voices? Why? To be able to AI and make compromising recordings? Sounds nefarious. PUBLIC: BEWARE,,,sound like 're working bad actor 're harvesting people voice able ai make compromising recording sound nefarious public beware
,,,"I'm not saying that Youtubers aren't creators, but like the actors, they are the last one that will be bothered by AI. They all will have the live easier, especially when they are already so rich, while we all die.",,,saying youtubers creator like actor last one bothered ai live easier especially already rich die
,,,"AI can replace actors. The movie Gemini Man, they created a younger clone of Will Smith. Robin Williams's face is not allowed to be cloned. Paul Walker was brought to life in Furious",,,ai replace actor movie gemini man created younger clone smith robin williams face allowed cloned paul walker brought life furious
,,,We wont need actors or writers soon thanks to AI,,,wont need actor writer soon thanks ai
,,,"Would you like it if you got fired and replaced by robots/AI because you couldnt make it for a day? Voice actors might lose job because people might opt for AI generated (cheaper) Also VA have schedule, both side will make schedule base on each other availability normally",,,would like got fired replaced robots/ai couldnt make day voice actor might lose job people might opt ai generated cheaper also va schedule side make schedule availability normally
,,,It's the not just the actors and writers etc. that will be replaced by Ai it's the big movie studios themselves. People will be able to create movies from their bedrooms.,,,actor writer etc replaced ai big movie studio people able create movie bedroom
,,,"Protesting only going to accelerate the use of AI. See: McDonalds That being said, this could spark a niche of creators that want to make their own movies with real actors (be the change you wish to see)",,,protesting going accelerate use ai see mcdonalds said could spark niche creator want make movie real actor change wish see
,,,"Check out much more on Bilibili Comics - search ""Best Actors Apartment"" and favorite! ",,,check much bilibili comic search best actor apartment favorite
,,,theres so much love and care put into voice acting and this fucking loser is like Erm its actually way easier to replace actors with ai,,,there much care put voice acting fucking loser like erm actually easier replace actor ai
,,,"Picture a film shot in one language being seamlessly translated and dubbed using AI, while TrueSync synchronizes the actors' lip movements to match the dubbed language.",,,picture film shot one language seamlessly translated dubbed using ai truesync synchronizes actor lip movement match dubbed language
,,,The day that an AI movie gets great reviews is the day all actors take a hair cut in what they charge. If you can make a movie like Avatar or Up fully A.I. there is no stopping anyone.,,,day ai movie get great review day actor take hair cut charge make movie like avatar fully stopping anyone
,,,AI Takes Over the Silver Screen - What's Next for Human Actors? via AI Character Short,,,ai take silver screen next human actor via ai character short
,,,Good thing actors and writers striking will stop AI. Because its not like AI can replace actors and writers exactly like its doing and theyre striking about,,,good thing actor writer striking stop ai like ai replace actor writer exactly like theyre striking
,,,I feel so bad for voice actors since AI is a thing,,,feel bad voice actor since ai thing
,,,Wonder what would happen if the actors went on strike in support of the writers? What are they going to do have Ai replace them too. . The story belongs to the writers that started the story and those who came along through the journey . There irreplaceable .,,,wonder would happen actor went strike support writer going ai replace story belongs writer started story came along journey irreplaceable
,,,"Good maybe AI will come with some original content, not just remakes with different woke actors.",,,good maybe ai come original content remake different woke actor
,,,"""Access to ai technology will be far more democratised than seemed possible ... On the plus side, it makes monopolistic control...far less likely. But easier access to ai also means bad actors will be able to fine-tune systems for nefarious purposes...""",,,access ai technology far democratised seemed possible plus side make monopolistic controlfar le likely easier access ai also mean bad actor able fine-tune system nefarious purpose
,,,"There will be no actors in the future. Why? Because we have enough Actor Icons that are manifested in your movie history. So, as she pointed out correctly, for the movie industry it will be much more easy to create movies with the help of AI instead of using real humans as actors",,,actor future enough actor icon manifested movie history pointed correctly movie industry much easy create movie help ai instead using real human actor
,,,"Regrettably, AGI is coming for all of us. Actors are going to find out that script writing is easily done by AI and that actors images or a new actor can be produced by computers. Many of the so called stars who have acted entitled, will shortly be out of work.",,,regrettably agi coming u actor going find script writing easily done ai actor image new actor produced computer many called acted entitled shortly work
,,,What did voice actors do to make Ai makers be there nr haters,,,voice actor make ai maker hater
,,,"Yes, AI will be better at that, if it isnt already. Through the internet and other channels we are constantly feeding it information about how we humans think, so AI can use that in ways human actors never could.",,,yes ai better isnt already internet channel constantly feeding information human think ai use way human actor never could
,,,"No AI will replace live acting. Theatre is coming back soon, real Actors with Skill.",,,ai replace live acting theatre coming back soon real actor skill
,,,If the USA institutes controls on AI how will they be employed against actors in other countries?,,,usa institute control ai employed actor country
,,,I will act like the craziest mofo if they want to replace actors I've enjoyed for years with goddamn AI.,,,act like craziest want replace actor 've enjoyed year goddamn ai
,,,"This is the future they ask for. Full of the same recycled sanitised jokes, stolen AI artwork that looks the same, and trying to bring back long-lost actors who should be kept at rest with their legacy. All of it, devoid of human expression of raw emotion and passion.",,,future ask full recycled sanitised joke stolen ai artwork look trying bring back long-lost actor kept rest legacy devoid human expression raw emotion passion
,,,"Some people in the AI risk movement say we have common cause with other groups who want to slow down AI, such as actors going on strike. Nothing could be further from the truth. () I want these people to be permanently unemployed and on a basic income because I don't want their",,,people ai risk movement say common cause group want slow ai actor going strike nothing could truth want people permanently unemployed basic income want
,,,"The reason this pisses me the fuck off is it could so easily be used to take advantage of new actors. They would own that voice and I dont want to sign that away if Im capable of doing it, AI does not sound convincing, and its just a slippery slope.",,,reason piss fuck could easily used take advantage new actor would voice dont want sign away capable ai sound convincing slippery slope
,,,"I hate this, bigger video game companies will probably still employ high-profile talent, like Troy Baker who voices Joel Miller in The Last of Us, but AI will give smaller games studios easier access to voices and give early-career actors more work",,,hate bigger video game company probably still employ high-profile talent like troy baker voice joel miller last u ai give smaller game studio easier access voice give early-career actor work
,,,"If the voice actors were absent, the AI wouldn't exist cause it needs them to steal voices from hope that helps",,,voice actor absent ai exist cause need steal voice hope help
,,,"Its in no countrys interest for any country to develop and release AI systems that humans cannot control. Stuart Russell UC Berkeley, U Oxford [and in no countrys interest to release AI systems that bad actors can use] May",,,country interest country develop release ai system human control stuart russell uc berkeley oxford country interest release ai system bad actor use may
,,,"Saying ""AI replacing Voice Actors/Voice Actresses is a good idea"" is just worst and Big No like coming from someone who watch tokusatsu series that use Voice Actors/Voice Actresses a lot.",,,saying ai replacing voice actors/voice actress good idea worst big like coming someone watch tokusatsu series use voice actors/voice actress lot
,,,Everyone that wants to Justify The VAs and Voice dub role actors THIS AI IS STEALING VOICE ACTORS VOICE LINES WITHOUT PERMISSION AND THEY ARE FROM HK DO EVERYONE OF THE VICTIMS A FAVOR AND AR THIS POS NOW,,,everyone want justify va voice dub role actor ai stealing voice actor voice line without permission hk everyone victim favor
,,,"Chatbots as improv machines? This new generation of AI-powered chatbots is baffling our intuition on how to interact with computers. Find out why the comparison to improv actors could help us understand their limitations and possibilities,",,,chatbots improv machine new generation ai-powered chatbots baffling intuition interact computer find comparison improv actor could help u understand limitation possibility
,,,"Well yeah, what does that have to do with the whole AI thing that could potentially take away the jobs of said voice actors.",,,well yeah whole ai thing could potentially take away job said voice actor
,,,Are anime voice actors going to be downsized as AI progresses (I think this is a conversation that needs to be had),,,anime voice actor going downsized ai progress think conversation need
,,,She aced it!! She committed to creating the total AI generic look in plastic surgery. I guess self-worth on a name tag is not all that bad while the swelling goes down. Actors/actresses are looking more and more similar to each other. Doppelgangers. AI. It's not pretty.,,,aced committed creating total ai generic look plastic surgery guess self-worth name tag bad swelling go actors/actresses looking similar doppelganger ai pretty
,,,if anime voice actors were replaced by ai that would sound and feel wierddd!!,,,anime voice actor replaced ai would sound feel wierddd
,,,I think it's more the fear of misuse of AI by bad actors in the short/medium-term,,,think misuse ai bad actor short/medium-term
,,,"Maybe AI can write better scripts than this formulated, boring, soulles scripts. last years i'm just watching same movies with different genre and different actors",,,maybe ai write better script formulated boring soulles script last year watching movie different genre different actor
,,,WDYM AI IS SLOWLY REPLACING VOICE ACTORS??? TF,,,ai slowly replacing voice actor
,,,Ain't you the bitch ass that tried to gas ai into replacing voice actors worldwide???,,,as tried ai replacing voice actor worldwide
,,,"Too many writers and digital artists lost my support when they didn't support fair pay for voice actors. Bring on the AI, if it does them out of a job then maybe they weren't good enough anyway",,,many writer digital artist lost support support fair pay voice actor bring ai job maybe good enough anyway
,,,"Without global regulation and enforcement, new regulation just in the US around AI is meaningless. Chaotic actors will simply set up in a more relaxed country to build.",,,without global regulation enforcement new regulation u around ai meaningless chaotic actor simply set relaxed country build
,,,how to recognize bad actors utilizing ai to take over the world. og twitter you got some splainin' to do... so do you ai devs,,,recognize bad actor utilizing ai take world twitter got splainin ai devs
,,,"There is an Ai app that can make a thier paid voice sample sing on English, Chinese and Japanese of which most of the voice actors themselves don't even speak English or Japanese. Cannot attest on how good thier Chinese or Japansese is, but one of thier English cover sounds -",,,ai app make thier paid voice sample sing english chinese japanese voice actor even speak english japanese attest good thier chinese japansese one thier english cover sound
,,,Important issues like what? Facilitating theft? Depriving indie creators of jobs? Screw that. We'll ALWAYS support real voice actors and artists over this unethical AI garbage attempting to invade creative spaces.,,,important issue like facilitating theft depriving indie creator job screw 'll always support real voice actor artist unethical ai garbage attempting invade creative space
,,,i dont think sports will happen because we like betting and the live aspect of it lol but its crazy but AI will make things faster and cheaper . maybe actors can sell their IP via nft or something and get revenue from AI lol,,,dont think sport happen like betting live aspect crazy ai make thing faster cheaper maybe actor sell ip via something get revenue ai
,,,"There is actually a fascinating aspect to AI, especially for actors. Contracts allow studios to use whatever they film in any way without compensation. So if Universal has Brad Pitt films and makes an AI Brad, can they use him as much as they want and never have to pay him.?",,,actually fascinating aspect ai especially actor contract allow studio use whatever film without compensation universal brad pitt film make ai brad use much want never pay
,,,"Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profession as well. No need to use local talent for language translation and dubbing or even for games and anime, just clone a voice. Another sector of the",,,voice actor wga strike hollywood actor strike vote generative ai rob profession well need use local talent language translation dubbing even game anime clone voice another sector
,,,"To be completely clear, I do believe AI x-risk is absolutely real and critically under-addressed. But this is a realistic scenario for hope, assuming competent actors with the right incentives can pull it off",,,completely clear believe ai -risk absolutely real critically under-addressed realistic scenario hope assuming competent actor right incentive pull
,,,"What the actual fuck... Voice Actors, no matter where deserve as much respect as artists for their craft, and this happens. AI tech doesn't need to be regulated it needs to be banned.",,,actual fuck voice actor matter deserve much respect artist happens ai tech need regulated need banned
,,,"AI is replacing actors, anchors and others",,,ai replacing actor anchor others
,,,"Even if WE stop our advances in AI because of the potential dangers, bad actors wouldn't stop their progress which would lead to good people having poor AI than bad people eventually. We should be more scared of that. Amazing talk by Sal Khan!",,,even stop advance ai potential danger bad actor stop progress would lead good people poor ai bad people eventually scared amazing talk sal khan
,,,Looking for insightful content on AI and anime? Follow my Twitter for a unique blend of thoughts on AI-generated actors and anime characters - with a pinch of humor to keep things interesting. ,,,looking insightful content ai anime follow twitter unique blend thought ai-generated actor anime character pinch humor keep thing interesting
,,,AI vote FreenSarocha for The Shining Actors of Thailand Summer (Close: May. : BKK) ,,,ai vote freensarocha shining actor thailand summer close may bkk
,,,I do Voice Acting mostly for fun and for side cash and I will tell you RIGHT NOW that there are tons of voice actors that will work within any budget incl no budget if the project catches their eye. There is NO EXCUSE for USING AI for voice overs...not one damn excuse.,,,voice acting mostly fun side cash tell right ton voice actor work within budget incl budget project catch eye excuse using ai voice oversnot one damn excuse
,,,Self employed actors are striking I wonder in the future if AI will also call a strike ?,,,self employed actor striking wonder future ai also call strike
,,,Whats next? Theres gonna replace real life actors with ai cgi actors?,,,whats next there gon replace real life actor ai cgi actor
,,,Hahah wtf how does AI replace human actors?,,,hahah ai replace human actor
,,,What next AI actors?,,,next ai actor
,,,"AI will replace everything until it gets to the lawyers and political class, along with ""news"" casters. Once their jobs are threatened it becomes serious. I think the actors should learn to code...oh wait, that's being replaced by AI too.",,,ai replace everything get lawyer political class along caster job threatened becomes serious think actor learn codeoh wait replaced ai
,,,"...No one was complaining when it was the SAs. Now its the actors they're kicking off?! Go back to acting on stage, should be a while before AI takes over there",,,one complaining sa actor 're kicking go back acting stage ai take
,,,The AI voice overs sound pretty bad too. It's not that hard to find voice actors to work within any budget on a cool project.,,,ai voice over sound pretty bad hard find voice actor work within budget cool project
,,,"Whos's going to miss them? BadBiased actors/actress, BadBiased movies They will be easily replaced by AI...They deserve to be",,,who going miss badbiased actors/actress badbiased movie easily replaced aithey deserve
,,,"The fact *you* don't think it's rational implies nothing about other actors who, believe it or not, don't necessarily share your priors. All an actor needs is a belief that one more epoch of training presents no x-risk but possible AI superiority for it to be rational to train.",,,fact think rational implies nothing actor believe necessarily share prior actor need belief one epoch training present -risk possible ai superiority rational train
,,,"AI Cannot take over in the sense that most are thinking, but it can take over by management by Human bad actors, which is why it needs to be stopped. quote AI impacting every day life FoxNews",,,ai take sense thinking take management human bad actor need stopped quote ai impacting every day life foxnews
,,,"Google to ""explore ways to identify and block disinformation campaigns, including interference in elections, where malicious actors use generative AI to generate or manipulate media""",,,google explore way identify block disinformation campaign including interference election malicious actor use generative ai generate manipulate medium
,,,I dont have any problem if Hollywood actors/ directors/ scripters are replaced by AI. It should be ended indeed.,,,dont problem hollywood actors/ directors/ scripters replaced ai ended indeed
,,,theyve even resorted to modelling AI after late voice actors; completely unethical and disrespectful to the ones that came before us,,,theyve even resorted modelling ai late voice actor completely unethical disrespectful one came u
,,,"Fun fact, a lot of these AI voice generators pay voice actors to lend their voices to generate more voices with, so if you're a voice actor and you're taking on AI voice cloning projects for money...you're dumb. This is just the start.",,,fun fact lot ai voice generator pay voice actor lend voice generate voice 're voice actor 're taking ai voice cloning project moneyyou 're dumb start
,,,"It's over and those jobs won't be coming back. Years ago when below-the-line was cut, actors and writers sat back and didn't give shits about it because they felt secure. They need to start clawing at revenue from their future AI likeness, instead trying to retain the old way.",,,job coming back year ago below-the-line cut actor writer sat back give shit felt secure need start clawing revenue future ai likeness instead trying retain old
,,,"In terms of talents, JnA is full of Ai and Frill. Not ham actors like Melt Narushima. Ngeh",,,term talent jna full ai frill ham actor like melt narushima ngeh
,,,"Sounds good to me,more Ai,less woke loser actors",,,sound good ai le woke loser actor
,,,"AI should be its own Artform, not replace actors and their craft, no matter how sophisticated computers get,it will never replace the soul, emotional expression and nuances of a human being. It will cheapen story telling so I fully support all of you",,,ai artform replace actor matter sophisticated computer get never replace soul emotional expression nuance human cheapen story telling fully support
,,,Hollywood writers and actors been trash for a long time maybe ai will improve it. You would think bots have been writing films for the past years already,,,hollywood writer actor trash long maybe ai improve would think bot writing film past year already
,,,All this AI voice generator stuff is worrying and infuriating. Why would you want to replace the voice actors who work so hard to create something beautiful and meaningful? Why would you want to give up that passion and the genuine human emotions that they provide?,,,ai voice generator stuff worrying infuriating would want replace voice actor work hard create something beautiful meaningful would want give passion genuine human emotion provide
,,,"However, threat actors also leveraged generative AI for malicious purposes like creating malware and phishing emails. The integration of generative AI into our lives and businesses has accelerated, with new models and offerings emerging",,,however threat actor also leveraged generative ai malicious purpose like creating malware phishing email integration generative ai life business accelerated new model offering emerging
,,,"Writers striking , Actors about to strike , Hollywood . A major issue ; AI taking over writing of scripts and using voice and image of actors . Actors not needed .",,,writer striking actor strike hollywood major issue ai taking writing script using voice image actor actor needed
,,,"So, this. Consumer, diagnostic, scientific AI is already in our lives in good ways. But AI poses a serious threat to the creative integrity &amp; financial wellbeing of actors. SAG-AFTRA needs membership authorization in the event a strike becomes necessary. Gotta support them.",,,consumer diagnostic scientific ai already life good way ai pose serious threat creative integrity financial wellbeing actor sag-aftra need membership authorization event strike becomes necessary got support
,,,"Which actor played the character of 'Joker' in the movie 'The Dark Knight'? . . . . I will follow you, if you answer correctly! ... Giappone",,,actor played character 'joker movie 'the dark knight follow answer correctly giappone
,,,so they think they can fight AI actors by...refusing to work? guess who doesn't go on strike...AI actors. this is just going to expedite the process.,,,think fight ai actor byrefusing work guess go strikeai actor going expedite process
,,,Will AI generated adult actors still rape AI generated children? Hoping not...,,,ai generated adult actor still rape ai generated child hoping
,,,"Show them how its done. They want to replace us w/ AI? Chop up our past scripts &amp; bring out resulting patchwork films? Take actors likeness &amp; use them however you want? Replace directors with software project managers,because you dont need a vision or a point of view? /",,,show done want replace u ai chop past script bring resulting patchwork film take actor likeness use however want replace director software project manager dont need vision point view
,,,"Please make more prompts of other famous people. In addition to businessmen, there are also actors and singers",,,please make prompt famous people addition businessmen also actor singer
,,,People who worry about super intelligence should get together with people who are worried about Aliens. They have been watching too many movies.I would worry more about complete AI automation of essential services because . Disastrous breakdown of the code. . Malicious actors,,,people worry super intelligence get together people worried alien watching many movie would worry complete ai automation essential service disastrous breakdown code malicious actor
,,,"AI must not replace us as actors, writers and content creators. I go walk on stage and riff on that from the heart",,,ai must replace u actor writer content creator go walk stage riff heart
,,,A.I. Company Wants To Visually 'Dub' Non-English Film Actors' Faces And We Have Questions - /Film ,,,company want visually 'dub non-english film actor face question /film
,,,"it is not beneficial to actors in any way for them to be like yeah we can just use AI to have you say a different line in post, or look like you speak Japanese when you dont. its just as dangerous",,,beneficial actor like yeah use ai say different line post look like speak japanese dont dangerous
,,,oh for sure. I predict in the next couple years there's going to be a highly promoted blockbuster movie with nothing but AI actors,,,sure predict next couple year going highly promoted blockbuster movie nothing ai actor
,,,"TLDR, theyre snake oil salesmen selling Hollywood a tool they DONT need - using AI to make the actors faces look like they match the dub in other languages or when dialogue changes.",,,tldr theyre snake oil salesman selling hollywood tool dont need using ai make actor face look like match dub language dialogue change
,,,Who is cloning these actors with AI?,,,cloning actor ai
,,,Writers be like... I'm going on strike! Don't replace me with AI while I am gone?! Screen Actors Guild take notice!,,,writer like going strike replace ai gone screen actor guild take notice
,,,the exception is with dead actors or when they superimpose the young face onto a different actors face and use ai for the voice. its fucked and terrifying,,,exception dead actor superimpose young face onto different actor face use ai voice fucked terrifying
,,,"I dont have any good answers myself but I wish there was a way we could continue to have these events but make them safer, both from bad actors of the human sort and AI scraping.",,,dont good answer wish could continue event make safer bad actor human sort ai scraping
,,,"Every artist should be concerned. I don't know how you're not panicking if you aren't. Writers, artists, voice actors, AND actors... And it's more than just that. AI driven cars... There's so much of it in our world. It's great for those who NEED AI. Those that can't communicate",,,every artist concerned know 're panicking writer artist voice actor actor ai driven car much world great need ai communicate
,,,"This is % happening. Its real &amp; its huge. I manage a comedian, impressionist, &amp; voice actor, &amp; he is already losing work to AI. Folks this is it. Humanity stands together or its over. They are coming for all jobs &amp; humans. You can say who cares about actors youre next.",,,happening real huge manage comedian impressionist voice actor already losing work ai folk humanity stand together coming job human say care actor youre next
,,,"I would love a Star Wars show that starred Luke, Leia, and Han after Return of the Jedi, I dont care one bit if it is all CGI actors and AI voices, I want to see more stories with the characters I care about, at the same time absolutely keep making new stuff too",,,would star war show starred luke leia han return jedi dont care one bit cgi actor ai voice want see story character care absolutely keep making new stuff
,,,"Any danger introduced by civilian bad actors using AI will be dwarfed by government bad actors (ours and others) which regulation will not prevent. The only solution I see is to publicly and openly run towards the danger, fail fast, and hope we learn faster than the bad actors.",,,danger introduced civilian bad actor using ai dwarfed government bad actor others regulation prevent solution see publicly openly run towards danger fail fast hope learn faster bad actor
,,,"Thanks. Honestly, I don't know how actors make a living in Hollywood given producers/studios are so finicky. AI is scary on many levels too. I can blame anyone in the industry going on strike.",,,thanks honestly know actor make living hollywood given producers/studios finicky ai scary many level blame anyone industry going strike
,,,"Obtain new skills like the rest of us and get another job, or collect royalties by licensing your image/voice, etc out to companies leveraging AI creatively for them to use in their creations. Just because youre actors doesnt mean youre exempt from obselence. Adapt",,,obtain new skill like rest u get another job collect royalty licensing image/voice etc company leveraging ai creatively use creation youre actor doesnt mean youre exempt obselence adapt
,,,Fully agree with with the dangers of AI not just from AGI but from rogue/evil actors. We need regulation and we need it now. Just like nuclear bomb proliferation esp. dirty bombs its not unrealistic to see a future bad actor(s) commit horrific crimes and chaos with AI,,,fully agree danger ai agi rogue/evil actor need regulation need like nuclear bomb proliferation esp dirty bomb unrealistic see future bad actor commit horrific crime chaos ai
,,,As a WGA member I dont think youre taking into consideration that were fighting to save the industry. AI can replace writers and actors and every below the line production member goes with it. You think its sanitized now? The Guild will win with solidarity,,,wga member dont think youre taking consideration fighting save industry ai replace writer actor every line production member go think sanitized guild win solidarity
,,,"Hot take, actors are over payed. Maybe AI is making us all face the music",,,hot take actor payed maybe ai making u face music
,,,Yeah this whole AI thing just doesn't make sense for voice actors just to clone there voice it's just lazy besides you're not going to get % accuracy of a machine,,,yeah whole ai thing make sense voice actor clone voice lazy besides 're going get accuracy machine
,,,"This is exactly my question. I think we need a general consensus from the public on how far we go. Again, I'm not against AI, I love what I'm able to do with it, but I see how bad actors can distort the outcome. That's my concern.",,,exactly question think need general consensus public far go ai able see bad actor distort outcome concern
,,,I partially agree with Yann LeCun. There is much catastrophizing about AI. But I also think his statements are too absolute and deserve some qualifiers. Many bad actors want to use AI in bad ways which could lead to quite bad outcomes.,,,partially agree yann lecun much catastrophizing ai also think statement absolute deserve qualifier many bad actor want use ai bad way could lead quite bad outcome
,,,"they dont need to use likeness, they can make better looking, more fitting looking for the roll, ai generated actors",,,dont need use likeness make better looking fitting looking roll ai generated actor
,,,"to further their asshole capitalist gains to shut out OTHER tech people, writers and actors. WE are not more important then the careful PROCESS that is NEEDED to sort out AI and sort out all the precautions that need to be taken with it. -",,,asshole capitalist gain shut tech people writer actor important careful process needed sort ai sort precaution need taken
,,,I rather watch AI than overpaid actors with big egos.,,,rather watch ai overpaid actor big ego
,,,"I think AI should be fine as long as the actors get paid for the use of their voice and theres a safety clause that legally voids the contract if used incorrectly. But yeah, having the actual VAs produces better content.",,,think ai long actor get paid use voice there safety clause legally void contract used incorrectly yeah actual va produce better content
,,,"Couldn't give a fkk been around ""actors"" and a few of those ckkcssckers, literally the worst type of humans I've met. Its on you to show that ai products can't compete. Same w/ attorney etc..w/ all of us. Ai tears thru a lot of fluff - all those people laughed off truckers",,,give fkk around actor ckkcssckers literally worst type human 've met show ai product compete attorney etc/ u ai tear thru lot fluff people laughed trucker
,,,"Hollywoke has really sucked the past decade with only a handful of good movies. The AI doesnt care about your self absorbed &amp; self centered ego, lets get new actors to do NEW CONCEPT movies, not recast garbage.",,,hollywoke really sucked past decade handful good movie ai doesnt care self absorbed self centered ego let get new actor new concept movie recast garbage
,,,"is currently using voice actors' voices illegally with AI. ""Pokemon Cosmic Quest"" has made videos on YouTube illegally using myself, James Carter Cathcart, and Rodger Parsons' voices illegally.",,,currently using voice actor voice illegally ai pokemon cosmic quest made video youtube illegally using james carter cathcart rodger parson voice illegally
,,,I dont know if actors have realized yet that AI is going to make fake people on screen that wont have get paid. Goodbye commercial actors.,,,dont know actor realized yet ai going make fake people screen wont get paid goodbye commercial actor
,,,the question then for the movie studios becomes is it an economically better long term decision to invest in generative ai tools now instead of meeting the actors demands. i would guess for some the answer would be yes.,,,question movie studio becomes economically better long term decision invest generative ai tool instead meeting actor demand would guess answer would yes
,,,Would you watch a movie if all actors were AI?,,,would watch movie actor ai
,,,Whoa! that's not good to put out the hard work actors and replacing them with an computer engineering Ai ?? Wtf this not good way to Start off. Smh oh god check this out,,,whoa good put hard work actor replacing computer engineering ai good start god check
,,,"Not only does that commercial look like trash, the ai does as well. I hope sues them into oblivion and that actors stand up and take notice.",,,commercial look like trash ai well hope sue oblivion actor stand take notice
